critic_rating,user_rating,num_critic_rev,num_user_rev,genres,esrb_rating,unit shipped/sold
53,6.5,15,36,RPG,RP,1000.0
77,7.5,7,20,RPG,M,1000.0
83,8.0,30,1673,Action,M,1800000.0
73,6.6,15,339,Action,T,1000.0
66,6.3,6,14,Action,T,1000.0
69,7.1,6,8,Action,M,1000.0
64,0.0,9,0,Action,T,1000.0
72,4.4,8,112,RPG,M,1000.0
40,4.7,12,50,Action,M,1000.0
56,6.4,16,16,Misc,M,1000.0
50,6.8,17,6,Action,T,1000.0
55,7.4,9,10,Action,T,1000.0
55,7.3,5,4,Action,M,1000.0
63,5.9,4,15,Action,M,1000.0
75,8.4,29,622,Action,M,120000.0
41,6.0,10,9,Misc,M,1000.0
63,5.6,5,55,RPG,T,160000.0
64,5.1,15,32,Action,T,1000.0
64,6.1,12,57,Action,T,200000.0
52,6.8,27,169,Action,M,1000.0
67,7.9,17,56,Action,T,1000.0
77,8.2,11,428,Action,T,1000.0
81,8.4,41,1796,Action,M,140000.0
84,7.5,6,6,Action,T,1000.0
85,8.7,27,192,Action,M,1000.0
55,7.6,16,29,Action,M,1000.0
68,7.4,35,1025,Action,M,1000.0
45,3.5,40,1173,Action,M,460000.0
72,0.0,11,0,Misc,M,1000.0
58,5.7,6,24,Action,T,1000.0
86,7.4,17,14,Misc,M,1000.0
43,7.9,4,13,Misc,T,1000.0
69,5.9,4,57,RPG,M,1000.0
74,5.6,13,5,RPG,M,1000.0
55,5.6,19,160,Action,M,1000.0
66,7.7,16,41,Action,M,1000.0
72,7.6,4,19,Action,T,1000.0
51,0.0,18,0,Action,T,1000.0
52,4.9,8,8,RPG,M,1000.0
59,6.0,19,115,Action,T,1000.0
72,7.5,25,545,RPG,RP,30000.0
59,5.8,9,19,Action,M,1000.0
63,6.0,8,15,RPG,T,1000.0
79,8.6,6,91,Action,T,1000.0
71,6.7,13,10,Action,M,1000.0
73,7.2,26,80,RPG,M,210000.0
48,5.2,8,6,Misc,T,1000.0
50,7.3,15,11,Misc,T,1000.0
76,7.7,15,48,Misc,T,1000.0
53,7.3,16,8,Misc,T,1000.0
66,7.7,10,15,Misc,T,1000.0
66,6.8,7,12,Action,T,1000.0
39,3.5,5,10,Action,T,1000.0
28,7.1,24,86,Action,M,1000.0
85,7.9,34,178,Action,M,1000.0
76,6.8,31,209,Action,M,90000.0
80,8.7,4,6,Action,T,1000.0
82,6.0,13,33,Action,M,1000.0
70,7.7,5,370,Action,M,1000.0
85,8.4,6,39,Action,M,1000.0
72,5.9,59,869,Action,M,1000.0
72,6.0,5,7,RPG,T,1000.0
85,8.6,44,1338,Action,M,1000.0
66,7.5,40,207,Misc,T,1000.0
39,4.2,8,13,RPG,M,1000.0
77,8.0,18,81,RPG,M,1000.0
62,7.9,5,101,RPG,T,110000.0
61,5.8,5,4,RPG,M,1000.0
72,7.4,11,42,RPG,T,1000.0
73,7.0,17,12,RPG,M,1000.0
85,8.5,15,22,RPG,T,1000.0
71,8.2,5,17,RPG,T,1000.0
79,7.8,7,9,Action,M,1000.0
77,7.5,22,79,Misc,T,1000.0
68,7.4,17,54,Misc,M,1000.0
59,7.1,21,21,Misc,M,1000.0
75,6.2,10,109,Action,M,320000.0
67,8.7,4,12,RPG,T,1000.0
78,5.2,7,9,Action,M,1000.0
77,7.6,7,116,Misc,T,140000.0
69,7.7,4,32,RPG,RP,1000.0
50,0.0,10,0,RPG,RP,1000.0
63,7.5,4,11,RPG,RP,1000.0
74,7.1,22,13,RPG,T,100000.0
55,5.1,16,63,Misc,T,1000.0
75,6.0,5,74,Misc,T,1000.0
74,6.8,15,46,RPG,T,1000.0
81,7.9,49,231,Misc,M,1000.0
83,7.1,33,510,Misc,M,1400000.0
72,6.0,45,300,Misc,M,230000.0
75,6.6,11,64,RPG,M,120000.0
49,7.3,5,6,Action,M,1000.0
77,7.7,27,113,Action,T,150000.0
70,6.5,14,31,Misc,T,1000.0
80,7.3,36,171,Misc,T,570000.0
71,0.0,6,0,RPG,M,1000.0
67,7.5,10,11,Misc,T,1000.0
59,4.1,76,3497,RPG,RP,1000.0
82,8.2,50,568,Misc,M,1000.0
65,4.9,27,9,Action,M,1000.0
81,6.9,14,16,Misc,M,1000.0
73,7.0,4,7,Misc,T,1000.0
64,7.5,7,21,Misc,T,30000.0
83,6.3,33,23,Action,M,1000.0
88,6.0,25,823,Action,T,1000.0
73,7.0,8,7,RPG,M,1000.0
34,3.6,5,8,Action,T,1000.0
71,6.9,9,20,Misc,T,1000.0
78,7.7,30,191,Action,T,170000.0
67,7.8,13,29,Misc,T,1000.0
59,7.6,13,31,Misc,M,1000.0
82,8.1,7,114,Action,T,160000.0
50,0.0,4,0,Action,T,1000.0
71,7.2,15,53,Action,M,290000.0
78,0.0,4,0,Action,M,1000.0
81,0.0,6,0,Action,T,1000.0
41,2.0,10,69,RPG,RP,1000.0
63,4.0,25,386,RPG,RP,180000.0
81,8.7,24,317,RPG,RP,1000.0
42,5.7,15,25,RPG,T,1000.0
49,6.9,6,11,RPG,RP,1000.0
79,8.4,10,16,Action,T,1000.0
80,3.7,11,753,RPG,M,1000.0
67,6.1,27,47,Action,T,1000.0
59,7.2,4,5,RPG,M,1000.0
77,7.7,22,6,Misc,M,1000.0
49,0.0,4,0,Action,T,1000.0
81,7.6,5,26,Action,M,170000.0
71,8.6,8,13,Action,T,1000.0
77,7.5,38,611,Action,M,130000.0
73,8.1,29,206,Action,T,1000.0
74,7.7,27,84,Action,T,1000.0
67,6.4,6,13,Action,M,1000.0
74,7.5,38,977,Misc,T,1000.0
74,7.4,6,27,Misc,T,1000.0
47,5.7,5,33,Misc,T,110000.0
66,6.5,7,14,Action,M,1000.0
88,7.7,7,30,Misc,M,1000.0
78,7.7,31,40,Action,M,1000.0
75,7.0,26,63,Misc,RP,1000.0
69,7.7,31,49,Misc,T,1000.0
57,5.0,39,80,RPG,T,1000.0
67,7.8,9,27,Misc,T,1000.0
37,4.3,5,6,Action,M,1000.0
57,7.6,4,10,Action,T,1000.0
57,5.9,14,7,RPG,T,1000.0
50,5.3,12,20,Misc,M,1000.0
56,6.0,6,13,Misc,M,1000.0
65,6.2,7,5,Action,M,1000.0
76,2.1,20,584,Misc,M,1000.0
77,8.3,24,151,RPG,M,1000.0
65,7.6,21,69,Misc,RP,1000.0
82,5.9,20,161,RPG,RP,1000.0
81,8.5,15,24,Misc,T,1000.0
82,7.1,22,9,RPG,T,1000.0
67,7.9,5,10,RPG,M,1000.0
80,7.3,11,9,RPG,T,1000.0
59,7.2,4,37,RPG,M,1000.0
66,6.6,4,22,Action,T,1000.0
69,6.8,24,87,Misc,T,1000.0
81,7.6,5,27,Misc,M,160000.0
67,4.8,15,113,Action,M,1000.0
63,4.8,15,60,Action,T,1000.0
53,4.7,11,53,Action,M,1000.0
86,7.2,22,1912,Action,M,1000.0
80,6.3,21,1808,Action,M,1000.0
75,3.8,6,38,Action,M,1000.0
84,7.8,10,1790,Action,M,1000.0
66,5.7,14,199,Action,M,1000.0
86,5.7,14,1208,Action,M,1000.0
84,6.7,29,1379,Action,M,1000.0
74,7.3,25,503,Action,M,1000.0
74,6.1,14,737,Action,M,1000.0
70,3.4,10,1694,Action,M,1000.0
88,8.2,24,1374,Action,T,1000.0
79,7.5,38,1005,Action,M,1000.0
80,7.4,20,976,Action,M,1000.0
79,6.8,15,28,Action,M,1000.0
85,8.4,17,315,Action,M,830000.0
77,6.3,19,19,Action,T,1000.0
60,0.0,4,0,Misc,M,1000.0
86,7.3,14,128,Action,M,1000.0
75,0.0,5,0,RPG,M,1000.0
74,0.0,4,0,Misc,M,1000.0
74,7.3,8,4,Misc,M,1000.0
51,0.0,4,0,Misc,M,1000.0
70,5.1,4,15,Misc,M,1000.0
73,8.6,4,7,RPG,M,1000.0
41,6.7,5,9,Action,T,1000.0
54,0.0,17,0,Misc,T,1000.0
60,0.0,8,0,Misc,T,1000.0
81,7.5,12,49,Action,M,1000.0
75,7.1,7,103,Misc,M,320000.0
65,0.0,14,0,Action,M,1000.0
71,7.0,11,8,Misc,M,1000.0
